arch,seed,checkpoint,training,condition,acc,sens,spec,auc,acc_lo,acc_hi,sens_lo,sens_hi,spec_lo,spec_hi,auc_lo,auc_hi
compact,2,compact_faithful_s2,clean,only_moire,65.71428571428571,34.285714285714285,72.0,0.5854285714285714,60.95238095238095,70.23809523809524,23.606770833333332,45.59138655462184,67.50682773109244,76.35406543569809,0.5086841403810664,0.658845470781562
compact,2,compact_faithful_s2,clean,only_rotation,49.04761904761905,100.0,38.857142857142854,0.9913877551020408,44.517857142857146,54.285714285714285,100.0,100.0,33.714285714285715,44.3478874969295,0.9828782919383554,0.9972068494550047
compact,2,compact_faithful_s2,clean,only_glare,90.47619047619048,98.57142857142857,88.85714285714286,0.9880816326530613,87.38095238095238,93.0952380952381,95.16129032258064,100.0,85.37923472474289,91.96434754649782,0.9670176953360894,0.9987896297793324
compact,2,compact_phoneft_s2,phone_augmented,clean,88.33333333333333,38.57142857142857,98.28571428571429,0.8311020408163265,85.0,91.42857142857143,27.586206896551722,50.667605633802815,96.83885272781477,99.44448291782086,0.7692723278948795,0.8841303514068714
compact,2,compact_phoneft_s2,phone_augmented,phone_all,85.95238095238095,27.142857142857142,97.71428571428571,0.8400408163265306,82.61904761904762,89.28571428571429,16.895539906103284,37.31809701492537,96.01111111111112,99.14535984848484,0.783376856362884,0.8880826180659671
compact,3,compact_faithful_s3,clean,clean,99.28571428571429,97.14285714285714,99.71428571428571,0.9976326530612245,98.33333333333333,100.0,92.3076923076923,100.0,99.12023460410558,100.0,0.9926832245967396,1.0
compact,3,compact_faithful_s3,clean,phone_all,43.095238095238095,57.142857142857146,40.285714285714285,0.4881836734693878,37.857142857142854,48.095238095238095,45.44721407624633,68.6610777282419,35.0974930362117,45.61416759421212,0.41138342700723396,0.5684732485942741
compact,3,compact_faithful_s3,clean,only_brightness,80.95238095238095,92.85714285714286,78.57142857142857,0.9318775510204081,77.38095238095238,84.76190476190476,86.43875192604006,98.52994458653026,74.47932654592586,82.72052359089577,0.9039374288287803,0.9573386205097014
compact,3,compact_faithful_s3,clean,only_blur,20.476190476190474,100.0,4.571428571428571,0.8454081632653061,16.666666666666668,24.523809523809526,100.0,100.0,2.5787965616045847,6.983586331579718,0.7872123418758366,0.9009641717782618
compact,3,compact_faithful_s3,clean,only_moire,57.61904761904762,54.285714285714285,58.285714285714285,0.5594285714285715,52.61904761904762,62.61904761904762,42.42424242424242,65.75432588320116,53.23793047301148,63.35542243083004,0.47823425223930555,0.6395706340734917
compact,3,compact_faithful_s3,clean,only_rotation,53.57142857142857,100.0,44.285714285714285,0.9805714285714285,48.80952380952381,58.57142857142857,100.0,100.0,39.10526757639588,49.589839996156066,0.9656129486113081,0.992081637719289
compact,3,compact_faithful_s3,clean,only_glare,83.57142857142857,98.57142857142857,80.57142857142857,0.9840408163265306,79.28571428571429,86.91071428571428,95.16129032258064,100.0,75.73037466547726,84.68562312312312,0.9645582047363049,0.9962173538266534
compact,3,compact_phoneft_s3,phone_augmented,clean,88.80952380952381,41.42857142857143,98.28571428571429,0.8706938775510205,85.47619047619048,91.9047619047619,30.130688080617226,53.85416666666666,96.82904697490358,99.44134078212291,0.8165125489007641,0.9159070059388504
compact,3,compact_phoneft_s3,phone_augmented,phone_all,86.19047619047619,31.428571428571427,97.14285714285714,0.8390612244897959,83.0952380952381,89.52380952380952,20.688286808976464,42.04900568181818,95.26623098350117,98.80300981614484,0.7828594786316627,0.8876355285437579
compact,4,compact_faithful_s4,clean,clean,97.38095238095238,94.28571428571429,98.0,0.9913469387755103,95.71428571428571,98.80952380952381,88.33279220779221,98.68463773069037,96.51111791105672,99.39434164655404,0.9808514464818261,0.9986279461152352
compact,4,compact_faithful_s4,clean,phone_all,51.904761904761905,58.57142857142857,50.57142857142857,0.5610408163265307,47.38095238095238,56.19047619047619,46.478873239436616,69.74342105263158,45.64983804659275,55.655438311688314,0.4871557447050772,0.6371366107172067
compact,4,compact_faithful_s4,clean,only_brightness,69.28571428571429,77.14285714285714,67.71428571428571,0.7913673469387755,64.99404761904762,73.80952380952381,66.66666666666667,86.56716417910448,63.08539944903581,72.88135593220339,0.7419616676093347,0.8364715657796102
compact,4,compact_faithful_s4,clean,only_blur,24.285714285714285,100.0,9.142857142857142,0.9246122448979592,20.238095238095237,28.571428571428573,100.0,100.0,6.267361111111112,12.250712250712251,0.8858065680103564,0.9595802684910345
compact,4,compact_faithful_s4,clean,only_moire,73.33333333333333,28.571428571428573,82.28571428571429,0.6158367346938776,69.04761904761905,77.61904761904762,18.46153846153846,39.43754633061527,78.2122905027933,86.07260144973411,0.5396711712237938,0.6891411090602136
compact,4,compact_faithful_s4,clean,only_rotation,71.42857142857143,97.14285714285714,66.28571428571429,0.9767346938775511,67.38095238095238,75.71428571428571,92.3076923076923,100.0,61.39700566828226,71.34928882249788,0.9569040107701435,0.9917001077717142
compact,4,compact_faithful_s4,clean,only_glare,58.80952380952381,98.57142857142857,50.857142857142854,0.9442857142857144,53.80952380952381,63.57142857142857,95.16129032258064,100.0,45.01353072269978,56.182423756019254,0.9162684908494305,0.9676056042987569
compact,4,compact_phoneft_s4,phone_augmented,clean,90.47619047619048,48.57142857142857,98.85714285714286,0.9081632653061225,87.61904761904762,93.33333333333333,36.616923764811084,60.87126358695652,97.70081722144708,99.72224145891045,0.8629697076368079,0.9431605033030213
