arch,cache,weighted,seed,params,size_mb,epochs,train_s,checkpoint,acc,sens,spec,auc,acc_lo,acc_hi,sens_lo,sens_hi,spec_lo,spec_hi,auc_lo,auc_hi
full,simple,False,3,4320598,16.587891578674316,10,112.8,full_simple_s3,97.38095238095238,97.14285714285714,97.42857142857143,0.9974285714285714,95.71428571428571,98.80952380952381,92.72727272727273,100.0,95.6896551724138,98.88911845730027,0.9935935293926749,0.9999202811789207
full,simple,False,4,4320598,16.587891578674316,10,112.8,full_simple_s4,99.04761904761905,98.57142857142857,99.14285714285714,0.9992653061224489,97.85714285714286,99.76190476190476,95.16129032258064,100.0,97.99956772334293,100.0,0.997851103659217,1.0
full,faithful,False,0,4320598,16.58813190460205,30,335.5,full_faithful_s0,92.61904761904762,92.85714285714286,92.57142857142857,0.9863673469387755,90.0,95.0,86.15277777777779,98.4375,89.85507246376811,95.18481426804452,0.9750809803820027,0.994978844599041
full,faithful,False,1,4320598,16.58813190460205,30,333.9,full_faithful_s1,71.19047619047619,94.28571428571429,66.57142857142857,0.9467755102040816,66.66666666666667,75.47619047619048,87.9969696969697,98.66666666666667,61.36249674394374,71.5909090909091,0.9108753158192305,0.977174103043245
full,faithful,False,2,4320598,16.58813190460205,30,334.0,full_faithful_s2,94.52380952380952,92.85714285714286,94.85714285714286,0.9811020408163266,92.38095238095238,96.42857142857143,86.20557029177719,98.48541383989145,92.47858343318653,96.90227156812743,0.964335575612821,0.9945646356002539
full,faithful,False,3,4320598,16.58813190460205,30,334.5,full_faithful_s3,83.80952380952381,97.14285714285714,81.14285714285714,0.983265306122449,80.47619047619048,87.14285714285714,92.95774647887323,100.0,77.27272727272727,85.00036023054756,0.9705651260142916,0.9930170267920194
full,faithful,False,4,4320598,16.58813190460205,30,334.6,full_faithful_s4,93.0952380952381,91.42857142857143,93.42857142857143,0.9784897959183674,90.71428571428571,95.23809523809524,84.05652173913043,97.14386317907444,90.80705690639223,95.93052746882373,0.9590992259353082,0.9930523376478262
compact,faithful,True,0,270778,1.069350242614746,10,65.3,compact_faithful_w_s0,97.85714285714286,97.14285714285714,98.0,0.9913061224489795,96.42857142857143,99.04761904761905,92.3076923076923,100.0,96.54103277260238,99.41180783163705,0.9759457924603729,0.9996972443287772
compact,faithful,True,1,270778,1.069350242614746,10,63.2,compact_faithful_w_s1,96.19047619047619,95.71428571428571,96.28571428571429,0.9933061224489796,94.28571428571429,97.86309523809524,90.32146057347671,100.0,94.28571428571429,98.24586903304774,0.9833415602964282,0.9997578717168552
compact,faithful,True,2,270778,1.069350242614746,10,63.5,compact_faithful_w_s2,85.71428571428571,92.85714285714286,84.28571428571429,0.9660408163265306,82.38095238095238,89.04761904761905,86.04447164422685,98.46212121212122,80.44584064527555,88.03418803418803,0.9404295819066499,0.9843569333869409
compact,faithful,True,3,270778,1.069350242614746,10,63.5,compact_faithful_w_s3,98.33333333333333,97.14285714285714,98.57142857142857,0.9963265306122449,97.13690476190476,99.52380952380952,92.3076923076923,100.0,97.14265247646335,99.70932339063026,0.9889929810427137,1.0
compact,faithful,True,4,270778,1.069350242614746,10,63.6,compact_faithful_w_s4,95.23809523809524,91.42857142857143,96.0,0.9824897959183674,93.33333333333333,97.14285714285714,83.99558823529412,97.2981981981982,93.90581717451524,97.93540601562297,0.9605744598656862,0.9971495394434308
