arch,seed,checkpoint,preproc,cohort,n,acc,sens,spec,auc,acc_lo,acc_hi,sens_lo,sens_hi,spec_lo,spec_hi,auc_lo,auc_hi
full,3,full_faithful_s3,faithful,montgomery,138,58.69565217391305,62.06896551724138,56.25,0.6295258620689654,50.70652173913044,66.66666666666667,49.97950819672131,74.54689754689754,45.45454545454545,66.67647058823529,0.5293176226429269,0.7198612744524072
full,3,full_faithful_s3,faithful,shenzhen,662,50.60422960725076,85.41666666666667,14.723926380368098,0.4790890666082384,46.97885196374622,54.38066465256797,81.70731707317073,88.88972055888223,10.526315789473685,18.733385730503887,0.43858743419716745,0.5233527556206774
full,4,full_faithful_s4,faithful,all,800,53.375,55.076142131979694,51.724137931034484,0.5559125803305744,49.996875,56.75,49.9968982630273,59.89720485952527,46.81283342692686,56.51217054263566,0.514791391672528,0.5938877648989606
full,4,full_faithful_s4,faithful,montgomery,138,61.594202898550726,29.310344827586206,85.0,0.6088362068965518,54.32971014492754,69.56521739130434,18.333333333333332,41.43059299191375,76.74338961452692,92.3076923076923,0.5043338899584706,0.7017105263157896
full,4,full_faithful_s4,faithful,shenzhen,662,51.661631419939575,59.523809523809526,43.558282208588956,0.529031551270815,47.73413897280967,55.28700906344411,54.15355029585799,64.59686353565073,38.677996238170806,49.27124265855411,0.48669862495656274,0.5711950826024623
compact,0,compact_simple_s0,simple,all,800,50.75,0.0,100.0,0.26521592358280616,47.375,53.878125,0.0,0.0,100.0,100.0,0.22877076079060096,0.302574231265453
compact,0,compact_simple_s0,simple,montgomery,138,57.971014492753625,0.0,100.0,0.5183189655172414,50.0,65.94202898550725,0.0,0.0,100.0,100.0,0.416150934444286,0.6186276455026455
compact,0,compact_simple_s0,simple,shenzhen,662,49.244712990936556,0.0,100.0,0.21580119777972537,45.468277945619334,53.17220543806646,0.0,0.0,100.0,100.0,0.17906837212066434,0.2507000874440625
compact,1,compact_simple_s1,simple,all,800,50.75,0.0,100.0,0.23595308944512516,47.375,53.878125,0.0,0.0,100.0,100.0,0.20353719345467897,0.2738334268447662
compact,1,compact_simple_s1,simple,montgomery,138,57.971014492753625,0.0,100.0,0.43124999999999997,50.0,65.94202898550725,0.0,0.0,100.0,100.0,0.32637921022067357,0.5273174048174047
compact,1,compact_simple_s1,simple,shenzhen,662,49.244712990936556,0.0,100.0,0.1794569821793748,45.468277945619334,53.17220543806646,0.0,0.0,100.0,100.0,0.14474717175830554,0.2133950297612765
compact,2,compact_simple_s2,simple,all,800,50.875,0.25380710659898476,100.0,0.2521942437048336,47.5,54.003125,0.0,0.7961872722175494,100.0,100.0,0.21654076560453506,0.2883257867755245
compact,2,compact_simple_s2,simple,montgomery,138,58.69565217391305,1.7241379310344827,100.0,0.554094827586207,50.72463768115942,66.66666666666667,0.0,5.882352941176471,100.0,100.0,0.4545907748861159,0.6530680495089602
compact,2,compact_simple_s2,simple,shenzhen,662,49.244712990936556,0.0,100.0,0.19617294770669003,45.468277945619334,53.17220543806646,0.0,0.0,100.0,100.0,0.162646036899354,0.22974799338201554
compact,3,compact_simple_s3,simple,all,800,50.75,0.0,100.0,0.26823535295441475,47.375,53.878125,0.0,0.0,100.0,100.0,0.23381672350217378,0.3067885215680475
compact,3,compact_simple_s3,simple,montgomery,138,57.971014492753625,0.0,100.0,0.5269396551724138,50.0,65.94202898550725,0.0,0.0,100.0,100.0,0.4280109840506972,0.6282774390243901
compact,3,compact_simple_s3,simple,shenzhen,662,49.244712990936556,0.0,100.0,0.2308282208588957,45.468277945619334,53.17220543806646,0.0,0.0,100.0,100.0,0.19544042352788707,0.26671356991745393
compact,4,compact_simple_s4,simple,all,800,50.75,0.0,100.0,0.29707309144557525,47.375,53.878125,0.0,0.0,100.0,100.0,0.2579526933412735,0.3354718178877554
compact,4,compact_simple_s4,simple,montgomery,138,57.971014492753625,0.0,100.0,0.5823275862068966,50.0,65.94202898550725,0.0,0.0,100.0,100.0,0.48349924400129324,0.6818765733856331
compact,4,compact_simple_s4,simple,shenzhen,662,49.244712990936556,0.0,100.0,0.23322925796085303,45.468277945619334,53.17220543806646,0.0,0.0,100.0,100.0,0.19399472203959386,0.26938687565504243
full,0,full_simple_s0,simple,all,800,49.125,11.928934010152284,85.22167487684729,0.5370708409392113,45.621875,52.5,8.922462278422094,15.285565790315358,81.70321892751438,88.406054065166,0.4973781734937046,0.5821266706528808
full,0,full_simple_s0,simple,montgomery,138,59.42028985507246,3.4482758620689653,100.0,0.6183189655172413,51.44927536231884,67.3913043478261,0.0,9.23148148148148,100.0,100.0,0.519736375151972,0.7124844883389684
full,0,full_simple_s0,simple,shenzhen,662,46.97885196374622,13.392857142857142,81.59509202453988,0.5005660239555945,43.34969788519638,50.60800604229607,9.826460569777044,17.12693520642202,77.60123607802743,85.3211009174312,0.4565732703914608,0.544629135518847
full,1,full_simple_s1,simple,all,800,51.125,0.7614213197969543,100.0,0.54878597684479,47.75,54.25,0.0,1.7414020917854618,100.0,100.0,0.5062951308180591,0.5916645147633247
full,1,full_simple_s1,simple,montgomery,138,58.69565217391305,1.7241379310344827,100.0,0.6206896551724138,50.72463768115942,66.66666666666667,0.0,5.884547848990341,100.0,100.0,0.5199873788595898,0.7139012208657048
full,1,full_simple_s1,simple,shenzhen,662,49.546827794561935,0.5952380952380952,100.0,0.5176562956470931,45.770392749244714,53.323262839879156,0.0,1.5384615384615385,100.0,100.0,0.4754105099447276,0.5614312476007585
full,2,full_simple_s2,simple,all,800,48.75,3.8071065989847717,92.36453201970443,0.4763134205196169,45.125,52.0,2.0556464386798576,5.835640573873647,89.71035543403966,94.8780487804878,0.4370611109924088,0.5198433773094715
full,2,full_simple_s2,simple,montgomery,138,57.971014492753625,0.0,100.0,0.5954741379310345,50.0,65.94202898550725,0.0,0.0,100.0,100.0,0.49516552509684314,0.6855515291478406
full,2,full_simple_s2,simple,shenzhen,662,46.82779456193354,4.464285714285714,90.49079754601227,0.42512963774466844,43.051359516616316,50.759063444108754,2.3595359821451742,6.887264627371762,87.37799828669331,93.71069182389937,0.3844482304842656,0.46896463977278385
full,3,full_simple_s3,simple,all,800,51.25,1.015228426395939,100.0,0.5466104873596559,47.875,54.375,0.24503854940034264,2.056555269922879,100.0,100.0,0.5080637246040693,0.5917182291823218
full,3,full_simple_s3,simple,montgomery,138,58.69565217391305,1.7241379310344827,100.0,0.550646551724138,50.72463768115942,66.66666666666667,0.0,5.884547848990341,100.0,100.0,0.4526331462212486,0.6472355406612518
full,3,full_simple_s3,simple,shenzhen,662,49.69788519637462,0.8928571428571429,100.0,0.5221297107800176,45.9214501510574,53.47432024169184,0.0,1.9505492343767208,100.0,100.0,0.4806144561788507,0.5651286182750301
full,4,full_simple_s4,simple,all,800,50.875,0.25380710659898476,100.0,0.4333850116276162,47.5,54.003125,0.0,0.7772525402059081,100.0,100.0,0.39438836577521275,0.4774716401437582
full,4,full_simple_s4,simple,montgomery,138,58.69565217391305,1.7241379310344827,100.0,0.5831896551724138,50.72463768115942,66.66666666666667,0.0,5.884547848990341,100.0,100.0,0.4772241266438376,0.6786873066121817
full,4,full_simple_s4,simple,shenzhen,662,49.244712990936556,0.0,100.0,0.3630313321647678,45.468277945619334,53.17220543806646,0.0,0.0,100.0,100.0,0.3212904715905785,0.40340160536472375
