arch,seed,schedule,kind,target_sparsity,actual_sparsity,channel_sparsity,acc_pre_ft,sens_pre_ft,size_mb,acc,sens,spec,auc,acc_lo,acc_hi,sens_lo,sens_hi,spec_lo,spec_hi,auc_lo,auc_hi
compact,0,one-shot,unstructured,0.25,25.0,0.0,98.57142857142857,94.28571428571429,1.0697088241577148,99.28571428571429,95.71428571428571,100.0,0.9960816326530613,98.33333333333333,100.0,90.27435446009389,100.0,100.0,100.0,0.9882405609859608,1.0
compact,0,one-shot,unstructured,0.5,50.0,0.0,73.0952380952381,100.0,1.0697088241577148,98.57142857142857,91.42857142857143,100.0,0.9971428571428571,97.14285714285714,99.52380952380952,84.26657988489997,97.26119955572011,100.0,100.0,0.9926138730074591,1.0
compact,0,one-shot,unstructured,0.75,75.0,0.0,85.0,10.0,1.0697088241577148,83.33333333333333,0.0,100.0,0.9915918367346939,79.75595238095238,86.91071428571428,0.0,0.0,100.0,100.0,0.9793927938808373,0.9994863994548844
compact,0,one-shot,structured,0.25,16.341770633397314,16.847826086956523,61.42857142857143,68.57142857142857,1.0695600509643555,99.04761904761905,94.28571428571429,100.0,0.9973061224489796,98.0952380952381,99.76190476190476,88.05700413594677,98.68463773069037,100.0,100.0,0.9916448140019309,1.0
compact,0,one-shot,structured,0.5,32.68354126679463,33.69565217391305,76.42857142857143,35.714285714285715,1.0695600509643555,97.38095238095238,85.71428571428571,99.71428571428571,0.9954285714285714,95.71428571428571,98.80952380952381,76.92028985507245,92.85965794768612,99.1304347826087,100.0,0.9903357074278276,0.9990345274665025
compact,0,one-shot,structured,0.75,49.02531190019194,50.54347826086956,16.666666666666668,100.0,1.0695600509643555,33.57142857142857,97.14285714285714,20.857142857142858,0.7735510204081634,29.047619047619047,38.333333333333336,92.40506329113924,100.0,16.76466337980279,25.143210398131117,0.7082770405760567,0.8307141841433215
compact,0,iterative,unstructured,0.7521241088917505,75.21255698176583,0.0,,,1.0692758560180664,99.04761904761905,94.28571428571429,100.0,0.998,97.85714285714286,99.76190476190476,87.93103448275862,98.70171495171495,100.0,100.0,0.9942038008269396,1.0
compact,1,one-shot,unstructured,0.25,25.0,0.0,94.76190476190476,100.0,1.0697088241577148,99.28571428571429,95.71428571428571,100.0,0.9993877551020408,98.33333333333333,100.0,90.38306451612904,100.0,100.0,100.0,0.9979818615555274,1.0
compact,1,one-shot,unstructured,0.5,50.0,0.0,97.61904761904762,90.0,1.0697088241577148,99.28571428571429,95.71428571428571,100.0,0.9990204081632653,98.33333333333333,100.0,90.38306451612904,100.0,100.0,100.0,0.9966640233212966,1.0
compact,1,one-shot,unstructured,0.75,75.0,0.0,83.33333333333333,0.0,1.0697088241577148,89.28571428571429,35.714285714285715,100.0,0.9986122448979592,86.42857142857143,92.38095238095238,25.351221251559995,46.97402597402597,100.0,100.0,0.9958256861792567,1.0
compact,1,one-shot,structured,0.25,16.341770633397314,16.847826086956523,16.666666666666668,100.0,1.0695600509643555,98.57142857142857,91.42857142857143,100.0,0.9995510204081632,97.38095238095238,99.52380952380952,84.28571428571429,97.26027397260275,100.0,100.0,0.9985989954437582,1.0
