arch,seed,base,quant,size_mb,acc,sens,spec,auc,acc_lo,acc_hi,sens_lo,sens_hi,spec_lo,spec_hi,auc_lo,auc_hi
compact,0,fp32,fp16,0.5471811294555664,99.04761904761905,94.28571428571429,100.0,0.9943673469387755,97.85714285714286,99.76190476190476,87.93103448275862,98.70171495171495,100.0,100.0,0.98657022417308,0.9998245471581652
compact,0,fp32,int8_dynamic,0.8226213455200195,99.04761904761905,94.28571428571429,100.0,0.9942448979591836,97.85714285714286,99.76190476190476,87.93103448275862,98.70171495171495,100.0,100.0,0.9861966701502155,0.9998245471581652
compact,0,pruned25,fp16,0.5475397109985352,99.28571428571429,95.71428571428571,100.0,0.9960816326530613,98.33333333333333,100.0,90.27435446009389,100.0,100.0,100.0,0.9882405609859608,1.0
compact,0,pruned25,int8_dynamic,0.8231096267700195,99.28571428571429,95.71428571428571,100.0,0.9961224489795919,98.33333333333333,100.0,90.27435446009389,100.0,100.0,100.0,0.9886060981355177,1.0
compact,1,fp32,fp16,0.5471811294555664,99.28571428571429,97.14285714285714,99.71428571428571,0.9991428571428572,98.33333333333333,100.0,92.3076923076923,100.0,99.12010484519763,100.0,0.9972424258343934,1.0
compact,1,fp32,int8_dynamic,0.8226213455200195,99.28571428571429,97.14285714285714,99.71428571428571,0.9991428571428572,98.33333333333333,100.0,92.3076923076923,100.0,99.12010484519763,100.0,0.9972424258343934,1.0
compact,1,pruned25,fp16,0.5475397109985352,99.28571428571429,95.71428571428571,100.0,0.9994285714285714,98.33333333333333,100.0,90.38306451612904,100.0,100.0,100.0,0.9981250796206219,1.0
compact,1,pruned25,int8_dynamic,0.8231096267700195,99.28571428571429,95.71428571428571,100.0,0.9993469387755102,98.33333333333333,100.0,90.38306451612904,100.0,100.0,100.0,0.9978748877907636,1.0
compact,2,fp32,fp16,0.5471811294555664,99.04761904761905,95.71428571428571,99.71428571428571,0.9966530612244898,98.0952380952381,99.76190476190476,90.41095890410959,100.0,99.12003938989051,100.0,0.9884854188503399,1.0
compact,2,fp32,int8_dynamic,0.8226213455200195,99.04761904761905,95.71428571428571,99.71428571428571,0.9966122448979591,98.0952380952381,99.76190476190476,90.41095890410959,100.0,99.12003938989051,100.0,0.9884854188503398,1.0
compact,2,pruned25,fp16,0.5475397109985352,99.52380952380952,97.14285714285714,100.0,0.9988163265306123,98.80952380952381,100.0,92.6470588235294,100.0,100.0,100.0,0.9959587548062703,1.0
compact,2,pruned25,int8_dynamic,0.8231096267700195,99.52380952380952,97.14285714285714,100.0,0.9988571428571429,98.80952380952381,100.0,92.6470588235294,100.0,100.0,100.0,0.9960183621090961,1.0
compact,3,fp32,fp16,0.5471811294555664,99.28571428571429,97.14285714285714,99.71428571428571,0.9976326530612245,98.33333333333333,100.0,92.3076923076923,100.0,99.12023460410558,100.0,0.9926832245967395,1.0
compact,3,fp32,int8_dynamic,0.8226213455200195,99.28571428571429,97.14285714285714,99.71428571428571,0.9975918367346939,98.33333333333333,100.0,92.3076923076923,100.0,99.12023460410558,100.0,0.9925888433536932,1.0
compact,3,pruned25,fp16,0.5475397109985352,99.04761904761905,95.71428571428571,99.71428571428571,0.9973061224489795,98.08928571428572,99.76190476190476,90.27777777777777,100.0,99.12023460410558,100.0,0.9913746333535924,1.0
compact,3,pruned25,int8_dynamic,0.8231096267700195,99.04761904761905,95.71428571428571,99.71428571428571,0.9972244897959184,98.08928571428572,99.76190476190476,90.27777777777777,100.0,99.12023460410558,100.0,0.9907990222016427,1.0
compact,4,fp32,fp16,0.5471811294555664,97.61904761904762,94.28571428571429,98.28571428571429,0.9913061224489795,96.18452380952381,99.04761904761905,88.33279220779221,98.68463773069037,96.80232558139535,99.43669862311121,0.980773374575372,0.9986279461152352
compact,4,fp32,int8_dynamic,0.8226213455200195,97.61904761904762,94.28571428571429,98.28571428571429,0.9914285714285714,96.18452380952381,99.04761904761905,88.33279220779221,98.68463773069037,96.80232558139535,99.43669862311121,0.9810882706882996,0.9986279461152352
compact,4,pruned25,fp16,0.5475397109985352,98.80952380952381,95.71428571428571,99.42857142857143,0.9980612244897958,97.61904761904762,99.76190476190476,90.0,100.0,98.55072463768116,100.0,0.9950690726225244,0.9999211067407549
compact,4,pruned25,int8_dynamic,0.8231096267700195,98.80952380952381,95.71428571428571,99.42857142857143,0.9980816326530613,97.61904761904762,99.76190476190476,90.0,100.0,98.55072463768116,100.0,0.9951182574866112,0.9999211067407549
full,0,fp32,fp16,8.314326286315918,87.38095238095238,94.28571428571429,86.0,0.9769795918367347,84.04761904761905,90.47619047619048,88.30977845683728,98.66666666666667,82.10921282414577,89.42857142857143,0.9601556331817602,0.9902997161512826
full,0,fp32,int8_dynamic,13.53229808807373,87.38095238095238,94.28571428571429,86.0,0.9771428571428571,84.04761904761905,90.47619047619048,88.30977845683728,98.66666666666667,82.10921282414577,89.42857142857143,0.960565263716,0.9903092197550957
full,0,pruned25,fp16,8.314806938171387,95.71428571428571,92.85714285714286,96.28571428571429,0.9790612244897959,93.80952380952381,97.61904761904762,86.20084694494858,98.3883568548387,94.3015873015873,98.24574190578488,0.9570856837071344,0.9941767397600499
full,0,pruned25,int8_dynamic,13.53290843963623,95.47619047619048,92.85714285714286,96.0,0.9792244897959184,93.57142857142857,97.38095238095238,86.20084694494858,98.3883568548387,93.94768952707769,97.95933198860939,0.9573433348813002,0.9943212859120386
full,1,fp32,fp16,8.314326286315918,94.52380952380952,84.28571428571429,96.57142857142857,0.9688979591836735,92.14285714285714,96.42857142857143,75.94718463553035,92.54272117672507,94.58598244020587,98.35671973343207,0.9426502344286698,0.9884512384748416
full,1,fp32,int8_dynamic,13.53229808807373,94.52380952380952,84.28571428571429,96.57142857142857,0.968938775510204,92.14285714285714,96.42857142857143,75.94718463553035,92.54272117672507,94.58598244020587,98.35671973343207,0.9427358530266566,0.9882109557738938
full,1,pruned25,fp16,8.314806938171387,81.9047619047619,88.57142857142857,80.57142857142857,0.9572244897959183,78.33333333333333,85.71428571428571,80.81891372266283,95.65372670807454,76.5311890516016,84.79862700228833,0.9282585231841329,0.980403908186838
full,1,pruned25,int8_dynamic,13.53290843963623,81.9047619047619,88.57142857142857,80.57142857142857,0.957265306122449,78.33333333333333,85.71428571428571,80.81891372266283,95.65372670807454,76.5311890516016,84.79862700228833,0.9286546674579775,0.9804084995846313
full,2,fp32,fp16,8.314326286315918,88.80952380952381,85.71428571428571,89.42857142857143,0.9568163265306122,85.71428571428571,91.66666666666667,76.47058823529412,93.42159188955996,85.92364832979405,92.55037778005185,0.9286483887987087,0.9810550177297921
