arch,seed,base,onnx_mb,lat_ms_median,lat_ms_p25,lat_ms_p75,device,runs
compact,0,fp32,1.0369348526000977,2.4978405000126713,2.4392897499723176,2.558124249972593,cpu,100
compact,0,pruned25,1.0369348526000977,2.4156504999837125,2.3407477499546303,2.4849337499830426,cpu,100
compact,1,fp32,1.0369348526000977,2.5584919999914746,2.4821459999770923,2.6134697500168613,cpu,100
compact,1,pruned25,1.0369348526000977,2.410475000004908,2.328482999999437,2.4903315000273096,cpu,100
compact,2,fp32,1.0369348526000977,4.663065500011498,4.591705000009938,4.736553750007033,cpu,100
compact,2,pruned25,1.0369348526000977,2.430624499993428,2.3392924999683373,2.5273669999705817,cpu,100
compact,3,fp32,1.0369348526000977,2.527205500001628,2.4671512500020754,2.8201292499687725,cpu,100
compact,3,pruned25,1.0369348526000977,2.539849499981983,2.4819515000160663,2.6226592500080415,cpu,100
compact,4,fp32,1.0369348526000977,2.6057155000103194,2.5226385000109985,2.667783250004163,cpu,100
compact,4,pruned25,1.0369348526000977,2.53231150000488,2.4447827499898267,2.6222725000053515,cpu,100
full,0,fp32,16.465304374694824,6.924327999996649,6.7162277500045775,7.2981414999873095,cpu,100
full,0,pruned25,16.465304374694824,6.812940000003209,6.655894999994416,6.967792249994886,cpu,100
full,1,fp32,16.465304374694824,6.857262500034267,6.726849250014766,7.027174249998325,cpu,100
full,1,pruned25,16.465304374694824,6.614829499994812,6.512247499998125,6.770501499985926,cpu,100
full,2,fp32,16.465304374694824,6.806631999950241,6.703600000037113,6.98039499997094,cpu,100
full,2,pruned25,16.465304374694824,13.34690800001681,13.11408824997784,13.5820737500012,cpu,100
full,3,fp32,16.465304374694824,13.213389000043207,12.977314000039541,13.462727499927496,cpu,100
full,3,pruned25,16.465304374694824,6.9325590000630655,6.762784249985998,7.116736249969335,cpu,100
full,4,fp32,16.465304374694824,6.755236499998318,6.617445499983887,6.878960499932418,cpu,100
full,4,pruned25,16.465304374694824,12.889190999942457,12.57194024995556,13.091062499995587,cpu,100
